来源,内容
"Python SyntaxError","invalid syntax"
"Python SyntaxError","unexpected EOF while parsing"
"Python SyntaxError","EOL while scanning string literal"
"Python SyntaxError","unexpected indent"
"Python SyntaxError","expected an indented block"
"Python SyntaxError","unindent does not match any outer indentation level"
"Python SyntaxError","inconsistent use of tabs and spaces in indentation"
"Python SyntaxError","missing parentheses in call to 'print'"
"Python SyntaxError","f-string: unmatched '('"
"Python SyntaxError","f-string: expecting '}'"
"Python SyntaxError","positional argument follows keyword argument"
"Python SyntaxError","non-default argument follows default argument"
"Python SyntaxError","'return' outside function"
"Python SyntaxError","'break' outside loop"
"Python SyntaxError","'continue' not properly in loop"
"Python SyntaxError","invalid character in identifier"
"Python SyntaxError","unexpected character after line continuation character"
"Python SyntaxError","f-string: empty expression not allowed"
"Python SyntaxError","f-string: unterminated string"
"Python SyntaxError","f-string: mismatched '(', '{', or '['"
"Python SyntaxError","f-string: invalid conversion character"
"Python SyntaxError","f-string: invalid format specifier"
"Python SyntaxError","cannot assign to literal"
"Python SyntaxError","can't assign to function call"
"Python SyntaxError","multiple statements found while compiling a single statement"
"Python SyntaxError","expected an indented block"
"Python SyntaxError","unexpected indent"
"Python SyntaxError","unindent does not match any outer indentation level"
"Python SyntaxError","inconsistent use of tabs and spaces in indentation"
"Python SyntaxError","too many levels of indentation"
"Python SyntaxError","expected an indented block after 'if' statement"
"Python SyntaxError","expected an indented block after 'for' statement"
"Python SyntaxError","expected a colon"
"Python NameError","name 'xxx' is not defined"
"Python NameError","name 'math' is not defined"
"Python NameError","name 'pd' is not defined"
"Python NameError","name 'sys' is not defined"
"Python NameError","name 'List' is not defined"
"Python NameError","name 'Optional' is not defined"
"Python NameError","name 'self' is not defined"
"Python NameError","free variable 'x' referenced before assignment in enclosing scope"
"Python NameError","local variable 'x' referenced before assignment"
"Python NameError","cannot access local variable 'x' where it is not associated with a value"
"Python TypeError","can only concatenate str (not 'int') to str"
"Python TypeError","unsupported operand type(s) for +: 'int' and 'str'"
"Python TypeError","unsupported operand type(s) for -: 'str' and 'int'"
"Python TypeError","'int' object is not iterable"
"Python TypeError","'NoneType' object is not iterable"
"Python TypeError","'int' object is not subscriptable"
"Python TypeError","'NoneType' object is not subscriptable"
"Python TypeError","'str' object does not support item assignment"
"Python TypeError","'tuple' object does not support item assignment"
"Python TypeError","object of type 'int' has no len()"
"Python TypeError","object of type 'NoneType' has no len()"
"Python TypeError","'float' object cannot be interpreted as an integer"
"Python TypeError","'str' object cannot be interpreted as an integer"
"Python TypeError","missing 1 required positional argument: 'self'"
"Python TypeError","method() missing 1 required positional argument: 'x'"
"Python TypeError","method() takes 0 positional arguments but 1 was given"
"Python TypeError","method() takes 1 positional argument but 2 were given"
"Python TypeError","argument of type 'int' is not iterable"
"Python TypeError","'function' object is not subscriptable"
"Python TypeError","cannot unpack non-iterable NoneType object"
"Python TypeError","'str' object has no attribute 'append'"
"Python TypeError","'int' object has no attribute 'upper'"
"Python TypeError","'list' object has no attribute 'get'"
"Python TypeError","'NoneType' object has no attribute 'xxx'"
"Python TypeError","'module' object has no attribute 'xxx'"
"Python TypeError","'DataFrame' object has no attribute 'xxx'"
"Python TypeError","'function' object has no attribute 'xxx'"
"Python TypeError","'datetime' module has no attribute 'strptime'"
"Python TypeError","can't set attribute"
"Python TypeError","'type' object has no attribute 'xxx'"
"Python TypeError","partially initialized module 'xxx' has no attribute 'yyy'"
"Python TypeError","'xxx' object has no attribute 'yyy'"
"Python ImportError","No module named 'pandas'"
"Python ImportError","No module named 'requests'"
"Python ImportError","No module named 'my_module'"
"Python ImportError","No module named 'xxx.xxx'"
"Python ImportError","cannot import name 'xxx' from 'yyy'"
"Python ImportError","attempted relative import with no known parent package"
"Python ImportError","cannot import name 'func' from partially initialized module 'a'"
"Python ImportError","DLL load failed while importing xxx"
"Python ImportError","cannot import name 'xxx'"
"Python ImportError","No module named xxx"
"Python ImportError","can't resolve package from __spec__ or __package__"
"Python IndexError","list index out of range"
"Python IndexError","string index out of range"
"Python IndexError","tuple index out of range"
"Python IndexError","index 3 is out of bounds for axis 0 with size 3"
"Python IndexError","too many indices for array"
"Python IndexError","pop from empty list"
"Python IndexError","deque index out of range"
"Python IndexError","cannot fit 'int' into an index-sized integer"
"Python IndexError","KeyError: 'gender'"
"Python IndexError","KeyError: 0"
"Python IndexError","KeyError: 'xxx'"
