来源,内容
 Introduction to Computer Science Ch1 Key Terms ,"adversarial attack - sample input (e.g., an image) that is designed to cause a system to behave problematically"
 Introduction to Computer Science Ch1 Key Terms ,"algorithm - sequence of precise instructions"
 Introduction to Computer Science Ch1 Key Terms ,"artificial intelligence (AI) - development of computer functions to perform tasks, such as visual perception and decision-making processes, that usually are performed by human intelligence"
 Introduction to Computer Science Ch1 Key Terms ,"big data - very large datasets that aren't easily processed using spreadsheets"
 Introduction to Computer Science Ch1 Key Terms ,"computational science - application of computing concepts and technologies to advance scientific research and practical applications of science knowledge"
 Introduction to Computer Science Ch1 Key Terms ,"computer program - algorithms that can be run on a computer"
 Introduction to Computer Science Ch1 Key Terms ,"computer science (CS) - study of the phenomena surrounding computers"
 Introduction to Computer Science Ch1 Key Terms ,"computing - all phenomena related to computers"
 Introduction to Computer Science Ch1 Key Terms ,"data science - interdisciplinary field that applies computing toward managing data and extracting information from data"
 Introduction to Computer Science Ch1 Key Terms ,"hardware - physical, real-world materials that enable computation"
 Introduction to Computer Science Ch1 Key Terms ,"human-computer interaction (HCI) - subfield of computer science that emphasizes the social aspects of computation"
 Introduction to Computer Science Ch1 Key Terms ,"image recognition - problem of identifying objects in an image"
 Introduction to Computer Science Ch1 Key Terms ,"information science - interdisciplinary field studying information technologies and systems as they relate to people, organizations, and societies"
 Introduction to Computer Science Ch1 Key Terms ,"memory - means of addressing information in a computer by storing it in consistent locations"
 Introduction to Computer Science Ch1 Key Terms ,"network - various technological devices that are connected and share information"
 Introduction to Computer Science Ch1 Key Terms ,"neural network - AI algorithm architecture that emphasizes connections between artificial"neurons"whose behavior and values change in response to stimulus or input"
 Introduction to Computer Science Ch1 Key Terms ,"processor - computer's"brain,"that follows instructions from algorithms and processes data"
 Introduction to Computer Science Ch1 Key Terms ,"programming language - language consisting of symbols and instructions that can be interpreted by a computer"
 Introduction to Computer Science Ch1 Key Terms ,"social determination of technology - belief that technologies are inherently neutral, and that it is the people who use a technology who ultimately make it"good"or"bad""
 Introduction to Computer Science Ch1 Key Terms ,"software - algorithmic principles that determine how results are computed"
 Introduction to Computer Science Ch1 Key Terms ,"software engineering - subfield of computer science that emphasizes how problems can be solved with computers as well as the practices and processes that can help people design more effective software solutions"
 Introduction to Computer Science Ch1 Key Terms ,"spreadsheet - data-centric programming environment where data is organized into cells in a table"
 Introduction to Computer Science Ch1 Key Terms ,"storage - hardware and physical components of a computer that permanently house a computer's data"
 Introduction to Computer Science Ch1 Key Terms ,"technological fix - idea that technologies can solve social problems, but now often used to critique blind faith in technological solutions to human problems"
 Introduction to Computer Science Ch1 Key Terms ,"theoretical computer science - mathematical processes behind software"
 Introduction to Computer Science Ch1 Key Terms ,"Turing-complete - fundamental model for computing results and every computer has the ability to run any algorithm"
 Introduction to Computer Science Ch1 Key Terms ,"vacuum tube - physical device that works like a light bulb used as memory in early digital computers"
 Introduction to Computer Science Ch1 Conceptual Questions ,"Give two definitions of computer science. How do they compare?"
 Introduction to Computer Science Ch1 Conceptual Questions ,"Explain the concept of theoretical computer science."
 Introduction to Computer Science Ch1 Conceptual Questions ,"What is body-syntonic reasoning and how has it affected education?"
 Introduction to Computer Science Ch1 Conceptual Questions ,"In terms of data science, what is a spreadsheet and why can it be said that by using spreadsheets, people are programming without realizing it?"
 Introduction to Computer Science Ch1 Conceptual Questions ,"How do discovery and invention differ and how are these involved in computer science?"
 Introduction to Computer Science Ch1 Conceptual Questions ,"Describe in your own words the difference between data (as in data science) and information (as in information science). How does computer science shape both fields?"
 Introduction to Computer Science Ch1 Conceptual Questions ,"Give a real-life example that refutes social determination of technology. Your example does not need to involve computing, but it should involve some technology designed by humans."
 Introduction to Computer Science Ch1 Conceptual Questions ,"Artificial intelligence approaches are typically used to solve problems that requires specific kinds of"intelligence."Describe a real-life computational problem or application that does not need artificial intelligence."
 Introduction to Computer Science Ch1 Conceptual Questions ,"Image recognition systems that can detect objects in images enable self-driving cars and many large-scale manufacturing or agricultural operations. Give another example where image recognition could be used as part of a larger system to automate decisions at scale."
 Introduction to Computer Science Ch1 Problem Set A ,"Research examples of how modeling and simulations have led to new inventions and discoveries."
 Introduction to Computer Science Ch1 Problem Set A ,"Research and provide a summary of the difference between artificial intelligence and machine learning."
 Introduction to Computer Science Ch1 Problem Set B ,"Research how artificial intelligence and machine learning can improve the accuracy of computational models and lead to cutting-edge technology inventions in the future. Provide a specific example of how AI and ML have been used in this way so far."
 Introduction to Computer Science Ch1 Problem Set B ,"Research and provide a summary of how machine learning is a subset of artificial intelligence and plays a key role in artificial intelligence systems."
 Introduction to Computer Science Ch1 Practice Exercises ,"Research where the term debugging originated from and why it refers to finding problems in our programs today."
 Introduction to Computer Science Ch1 Practice Exercises ,"Research some examples of computational models and how they are a part of everyday life."
 Introduction to Computer Science Ch1 Practice Exercises ,"Research how computational models relate to mathematics."
 Introduction to Computer Science Ch1 Practice Exercises ,"Research some examples of how artificial intelligence is used across multiple industries. Summarize at least two different industries and how AI is currently being used."
 Introduction to Computer Science Ch1 Practice Exercises ,"Research ethical issues related to artificial intelligence and provide an example of how artificial intelligence can be misused for unethical and even criminal ways."
 Introduction to Computer Science Ch2 Key Terms ,"abstraction - simplified representation of complex systems or phenomena"
 Introduction to Computer Science Ch2 Key Terms ,"application architecture - subset of the enterprise solution architecture; includes a process to architect and design the application architecture as well as the actual application architecture model, which represents the content of the application architecture"
 Introduction to Computer Science Ch2 Key Terms ,"architectural pattern - reusable solution to a recurring problem in software architecture design"
 Introduction to Computer Science Ch2 Key Terms ,"architecture model - represents the content of the application architecture"
 Introduction to Computer Science Ch2 Key Terms ,"architecture scope - extent and boundaries within which architectural considerations, decisions, and solutions apply"
 Introduction to Computer Science Ch2 Key Terms ,"automation - using a program or computer application to perform repetitive tasks or calculations"
 Introduction to Computer Science Ch2 Key Terms ,"big data analytics - process of examining, processing, and extracting valuable insights from large datasets"
 Introduction to Computer Science Ch2 Key Terms ,"blockchain - secure and transparent way of recording transactions; uses a chain of blocks, each storing a list of transactions"
 Introduction to Computer Science Ch2 Key Terms ,"blueprint - detailed plan or design that outlines the structure, components, and specifications of a building, product, system, or process"
 Introduction to Computer Science Ch2 Key Terms ,"business logic layer - holds the business logic for the business solution or application"
 Introduction to Computer Science Ch2 Key Terms ,"business model - framework that outlines how a business creates, delivers, and captures value"
 Introduction to Computer Science Ch2 Key Terms ,"business process hierarchy - organizes a company's activities from broad, general processes down to specific tasks, making it easier to manage and improve how the business operates"
 Introduction to Computer Science Ch2 Key Terms ,"computational thinking - problem-solving and cognitive process rooted in principles derived from computer science that involves breaking down complex problems into smaller, more manageable parts and devising systematic approaches to solve them"
 Introduction to Computer Science Ch2 Key Terms ,"data architecture model - conceptual framework that outlines how an organization structures, organizes, and manages its data assets"
 Introduction to Computer Science Ch2 Key Terms ,"data management layer - responsible for interacting with persistent storage systems like databases and various data processing mechanisms"
 Introduction to Computer Science Ch2 Key Terms ,"data modeling - collaborative process wherein IT and business stakeholders establish a shared understanding of essential business terms, known as entities, which typically end up being represented as tables that contain data in a relational database management system"
 Introduction to Computer Science Ch2 Key Terms ,"debugging - finding and fixing of issues in code"
 Introduction to Computer Science Ch2 Key Terms ,"decomposition - solving of a complex problem by breaking it up into smaller, more manageable tasks"
 Introduction to Computer Science Ch2 Key Terms ,"design component - reusable element within a larger system that serves a specific purpose"
 Introduction to Computer Science Ch2 Key Terms ,"EA domain - represents business, data, application, and technology architectures"
 Introduction to Computer Science Ch2 Key Terms ,"elementary business process (EBP) - fundamental and indivisible activity within a business that is not further subdivided into smaller processes"
 Introduction to Computer Science Ch2 Key Terms ,"entity model - represents the various objects or concepts and their relationships within a system"
 Introduction to Computer Science Ch2 Key Terms ,"Ethereum platform - open-source blockchain platform that enables the creation and execution of smart contracts and decentralized applications"
 Introduction to Computer Science Ch2 Key Terms ,"flowchart - method for showing the flow and direction of decisions in a visual way using a diagram"
 Introduction to Computer Science Ch2 Key Terms ,"function - set of commands that can be repeatedly executed"
 Introduction to Computer Science Ch2 Key Terms ,"heuristic - form of a pattern that is well-known and considered a rule of thumb"
 Introduction to Computer Science Ch2 Key Terms ,"hybrid cloud application - combines the benefits of both private and public clouds, allowing organizations to optimize their infrastructure based on specific requirements"
 Introduction to Computer Science Ch2 Key Terms ,"Internet of Things (IoT) - network of physical devices embedded with sensors, software, and connectivity, enabling them to collect and exchange data"
 Introduction to Computer Science Ch2 Key Terms ,"machine learning - developing algorithms that enable computers to learn from data and make decisions without programming"
 Introduction to Computer Science Ch2 Key Terms ,"microservices - way of building software by breaking it into small, independent pieces; each piece, or service, does a specific job and works on its own"
 Introduction to Computer Science Ch2 Key Terms ,"Microsoft Azure - comprehensive cloud computing platform provided by Microsoft"
 Introduction to Computer Science Ch2 Key Terms ,"migrating legacy business solutions - upgrading or replacing old systems with newer, more efficient ones"
 Introduction to Computer Science Ch2 Key Terms ,"Model-View-Controller (MVC) - software architectural pattern commonly used in the design of interactive applications, providing a systematic way to organize and structure code"
 Introduction to Computer Science Ch2 Key Terms ,"monolithic structure - system or application architecture where all the components are tightly integrated into a single unit"
 Introduction to Computer Science Ch2 Key Terms ,"presentation layer - user's touchpoint, handling the user interface (UI) and delivering the user experience (UX), which encapsulates the"
 Introduction to Computer Science Ch2 Conceptual Questions ,"Suppose you plan to meet with your friends at a location you are unfamiliar with. In what ways could you employ computational thinking to efficiently navigate and locate the meeting spot?"
 Introduction to Computer Science Ch2 Conceptual Questions ,"Explain how the pyramid of knowledge concept helps describe the learning progress you make when reading a textbook."
 Introduction to Computer Science Ch2 Conceptual Questions ,"What are specific examples of business architecture similarities between two banks?"
 Introduction to Computer Science Ch2 Conceptual Questions ,"What are specific examples of technology architecture similarities between two banks?"
 Introduction to Computer Science Ch2 Problem Set A ,"Create an algorithm to explain to a robot how to cross a street. Use computational thinking to break down the problem into smaller parts."
 Introduction to Computer Science Ch2 Problem Set A ,"Create an algorithm to explain how to bake a four-tiered wedding cake."
 Introduction to Computer Science Ch2 Problem Set A ,"Reflect on what happens when you try to figure out driving directions from point A to point B."
 Introduction to Computer Science Ch2 Problem Set A ,"Create an enterprise architecture business model for an insurance company that specializes in insuring home and car owners."
 Introduction to Computer Science Ch2 Problem Set A ,"Create two alternative enterprise technology architecture models for the insurance company business model created in the previous question."
 Introduction to Computer Science Ch2 Problem Set A ,"Draw an application architecture diagram for the Web 2.0 responsive website of a fictitious insurance company that focuses on home and car insurance and assume that the company also provides native apps to its customers in addition to the website."
 Introduction to Computer Science Ch2 Problem Set B ,"Create an algorithm to explain to a robot how to play a game of rock paper scissors. Use computational thinking to break down the problem into smaller parts."
 Introduction to Computer Science Ch2 Problem Set B ,"Create an algorithm to show a robot how to play a game of tic-tac-toe. Use computational thinking to break down the problem into smaller parts."
 Introduction to Computer Science Ch2 Problem Set B ,"Perform some research on the Internet to piece together enterprise architectures for as many industries as you can think of."
 Introduction to Computer Science Ch2 Problem Set B ,"Draw a cloud-native application architecture diagram for the trading business and technical model documented in the previous section of this chapter."
 Introduction to Computer Science Ch2 Problem Set B ,"A company wants to develop a business solution that takes pictures of the license plates of cars that drive too fast through intersections in a given city, sends tickets to the drivers, and manages ticket payments. Draw an innovative cloud mashup application architecture diagram for such a solution."
 Introduction to Computer Science Ch2 Problem Set B ,"Document the architecture of a pattern catalog that could be used to provide access to solution architecture diagrams that would help accelerate the creation of mainstream business solutions."
 Introduction to Computer Science Ch2 Practice Exercises ,"Think of a complex problem—one that can be broken into many layers of smaller problems. Explain how computational thinking could help you develop a solution to your complex problem."
 Introduction to Computer Science Ch2 Practice Exercises ,"Look at the following pseudocode that describes an algorithm to make a peanut butter and jelly sandwich: ..."
 Introduction to Computer Science Ch2 Practice Exercises ,"Research what the Fibonacci number sequence is. Write the pseudocode to compute the nth number in the Fibonacci number sequence. Utilize recursion to model a pattern of computation."
 Introduction to Computer Science Ch2 Practice Exercises ,"Create a model that describes the business of running your daily life."
 Introduction to Computer Science Ch2 Practice Exercises ,"Draw an application architecture diagram for a business solution that uses smart contracts for payment and transactions logging purposes. Feel free to leverage some of the figures from this chapter, rather than create something new."
 Introduction to Computer Science Ch3 Key Terms ,"abstract data type (ADT) - consists of all data structures that share common functionality"
 Introduction to Computer Science Ch3 Key Terms ,"abstraction - process of simplifying a concept in order to represent it in a computer"
 Introduction to Computer Science Ch3 Key Terms ,"adjacent - in a graph abstract data type, the relationship between two vertices connected by an edge"
 Introduction to Computer Science Ch3 Key Terms ,"algorithm analysis - study of the results produced by the outputs as well as how the algorithm produces those outputs"
 Introduction to Computer Science Ch3 Key Terms ,"algorithm design pattern - solution to well-known computing problems"
 Introduction to Computer Science Ch3 Key Terms ,"algorithmic paradigm - common concept and ideas behind algorithm design patterns"
