来源,内容
サイバーパンクエッジランナーズE2,終わったな～ 俺
サイバーパンクエッジランナーズE2,やってらんないよ 安月給でさあ
サイバーパンクエッジランナーズE2,ちょっと来な
サイバーパンクエッジランナーズE2,どういうつもり？
サイバーパンクエッジランナーズE2,何が？
サイバーパンクエッジランナーズE2,私の仕事を邪魔したわ
サイバーパンクエッジランナーズE2,いや おとなしく 盗ませるやつがいるかよ
サイバーパンクエッジランナーズE2,チラチラ 私を見てたでしょ
サイバーパンクエッジランナーズE2,まさか泥棒だったとは
サイバーパンクエッジランナーズE2,どっかで会った？
サイバーパンクエッジランナーズE2,いや たぶん 初めて
サイバーパンクエッジランナーズE2,こんなもんつけちゃって
サイバーパンクエッジランナーズE2,ガキがサンデヴィスタン？ それも既製品じゃないわね
サイバーパンクエッジランナーズE2,別に詮索はしないわ それがナイトシティでしょ？
サイバーパンクエッジランナーズE2,その代わり私の仕事を手伝わない？
サイバーパンクエッジランナーズE2,泥棒を？
サイバーパンクエッジランナーズE2,私が狙うのはアラサカのやつだけ
サイバーパンクエッジランナーズE2,じゃあ俺は コーポに見えたの？
サイバーパンクエッジランナーズE2,スキャンしたら アラサカアカデミーのＩＤ登録がね
サイバーパンクエッジランナーズE2,まっ 言われてみりゃ コーポのガキには見えないか
サイバーパンクエッジランナーズE2,もう辞めたよ あんなとこ
サイバーパンクエッジランナーズE2,ふーん 問題児なんだ
サイバーパンクエッジランナーズE2,狙うのはコーポだけだね？
サイバーパンクエッジランナーズE2,乗ってきたわね
サイバーパンクエッジランナーズE2,賢く育ててくれた親に感謝なさい
サイバーパンクエッジランナーズE2,あんたマジで隙だらけ
サイバーパンクエッジランナーズE2,レクチャーのしがいがあるわ
サイバーパンクエッジランナーズE2,それで 俺の取り分は？
サイバーパンクエッジランナーズE2,私が８ あんたが２
サイバーパンクエッジランナーズE2,はあ？ ふざけてる？
サイバーパンクエッジランナーズE2,俺のサンデヴィスタンが 頼りなんだろ
サイバーパンクエッジランナーズE2,盗ったチップをさばくのもこっち
サイバーパンクエッジランナーズE2,それに あんたの授業料もあるわ
サイバーパンクエッジランナーズE2,授業料ね
サイバーパンクエッジランナーズE2,実は俺もカネが要るんだ せめて６：４にならない？
サイバーパンクエッジランナーズE2,7：3
サイバーパンクエッジランナーズE2,仕事が終わったら その場で 取り分 払うってのでどう？
サイバーパンクエッジランナーズE2,分かった
サイバーパンクエッジランナーズE2,決まりね
サイバーパンクエッジランナーズE2,ルーシーよ
サイバーパンクエッジランナーズE2,デイビッドだ
サイバーパンクエッジランナーズE2,つながった 聞こえる？
サイバーパンクエッジランナーズE2,聞こえてる
サイバーパンクエッジランナーズE2,こっちも聞こえてる
サイバーパンクエッジランナーズE2,ターゲットは？
サイバーパンクエッジランナーズE2,３時の方向
サイバーパンクエッジランナーズE2,侵入するわ
サイバーパンクエッジランナーズE2,オーケー 準備して いい？
サイバーパンクエッジランナーズE2,３ ２ １ 行くよ
サイバーパンクエッジランナーズE2,成功
サイバーパンクエッジランナーズE2,初心者コースよ 次からが本番
サイバーパンクエッジランナーズE2,よっしゃ
サイバーパンクエッジランナーズE2,おしゃべり中のＯＬはノーガード
サイバーパンクエッジランナーズE2,ＢＤ中はおいしいカモ
サイバーパンクエッジランナーズE2,簡単すぎ チュートリアルは もういいだろ
サイバーパンクエッジランナーズE2,オーケー じゃあ いよいよモンスター狩りよ
サイバーパンクエッジランナーズE2,コーポじゃないよね？
サイバーパンクエッジランナーズE2,アラサカの用心棒よ ３ ２…
サイバーパンクエッジランナーズE2,やるじゃない モンスタークリアね 次で降りるわ
サイバーパンクエッジランナーズE2,了解
サイバーパンクエッジランナーズE2,どう？ うまくやれただろ
サイバーパンクエッジランナーズE2,まあ ２割分の仕事はできたかな
サイバーパンクエッジランナーズE2,３割だろ
サイバーパンクエッジランナーズE2,冗談よ
サイバーパンクエッジランナーズE2,乗り換えて またやる？
サイバーパンクエッジランナーズE2,路線も替えるわ そろそろ気付いたやつもいるでしょ
サイバーパンクエッジランナーズE2,リスクは最小限に…
サイバーパンクエッジランナーズE2,どうなの？
サイバーパンクエッジランナーズE2,初心者がよくやるの
サイバーパンクエッジランナーズE2,負荷の高いインプラントを 慣らしもせずに使ったんでしょ
サイバーパンクエッジランナーズE2,抑制剤は何を？
サイバーパンクエッジランナーズE2,彼 保険は？
サイバーパンクエッジランナーズE2,知らないわ 入ってるようには見えないけど
サイバーパンクエッジランナーズE2,誰か呼べる家族は？ 緊急連絡先とか
サイバーパンクエッジランナーズE2,だから知らない
サイバーパンクエッジランナーズE2,親ぐらいはいるんじゃない？ アカデミーの生徒だったって
サイバーパンクエッジランナーズE2,アラサカ？ だから こんな…
サイバーパンクエッジランナーズE2,ちょっと失礼
サイバーパンクエッジランナーズE2,どう？ 現状への感想は？
サイバーパンクエッジランナーズE2,気持ち悪い
サイバーパンクエッジランナーズE2,抑制剤は何使ってる？
サイバーパンクエッジランナーズE2,何それ
サイバーパンクエッジランナーズE2,ウソでしょ？ イカれてるわ
サイバーパンクエッジランナーズE2,ちょっと 通り過ぎて…
サイバーパンクエッジランナーズE2,あら～
サイバーパンクエッジランナーズE2,この子の入れてるインプラント すごく高価なものなの
サイバーパンクエッジランナーズE2,黙っておとなしくしていれば…
サイバーパンクエッジランナーズE2,何？ スカベンジャーにでも 売り渡すわけ？
サイバーパンクエッジランナーズE2,嫌なら あんたのインプラントも頂く
サイバーパンクエッジランナーズE2,デイビッド やっぱり私が８で あんたが２だわ
サイバーパンクエッジランナーズE2,最高ー！
サイバーパンクエッジランナーズE2,あれ？
サイバーパンクエッジランナーズE2,リパー
サイバーパンクエッジランナーズE2,リパーのとこに連れて…
サイバーパンクエッジランナーズE2,よお デイビッド ひどいザマだな 平気か？
サイバーパンクエッジランナーズE2,いや…
サイバーパンクエッジランナーズE2,何回 使った？
サイバーパンクエッジランナーズE2,６… ８回ぐらい？
サイバーパンクエッジランナーズE2,おいおい バカか？ 大人でも発狂する回数だぞ
サイバーパンクエッジランナーズE2,何ともなかったんだけど 急に鼻血が出て…
サイバーパンクエッジランナーズE2,こいつ抑制剤のこと 知らなかったみたいだけど
サイバーパンクエッジランナーズE2,ああ 必要ないと思ってな
サイバーパンクエッジランナーズE2,あきれたやつね 早く薬を出して
サイバーパンクエッジランナーズE2,普通のじゃ効かねえからな
サイバーパンクエッジランナーズE2,ちっと高いぜ カネはあんのか？
サイバーパンクエッジランナーズE2,カネ 取るのか…
サイバーパンクエッジランナーズE2,そりゃ当然だろ サービスは手術代までだ
サイバーパンクエッジランナーズE2,これでどう？
サイバーパンクエッジランナーズE2,２日分だな
サイバーパンクエッジランナーズE2,それだけ？
サイバーパンクエッジランナーズE2,嫌なら街の医者に行きな
サイバーパンクエッジランナーズE2,またスカベンジャーに 売り飛ばされんのがオチだろうがな
サイバーパンクエッジランナーズE2,悪徳リパーめ
サイバーパンクエッジランナーズE2,まだ外すつもりはないようだな
サイバーパンクエッジランナーズE2,ない
サイバーパンクエッジランナーズE2,そいつを１日に８度も起動させて 平気だとは信じられん お前が鈍感なだけか
サイバーパンクエッジランナーズE2,だが使い過ぎはやめとけ
サイバーパンクエッジランナーズE2,せいぜい１日に２度 多くて３度までだな
サイバーパンクエッジランナーズE2,仮に体が受け入れても頭は別だ
サイバーパンクエッジランナーズE2,こいつは確実にお前さんの精神を むしばむだろうよ
サイバーパンクエッジランナーズE2,サイバーサイコシスに なるってこと？
サイバーパンクエッジランナーズE2,インプラント１つで？ そんなの聞いたことない
サイバーパンクエッジランナーズE2,それくらいヤバい代物ってことさ
サイバーパンクエッジランナーズE2,もういいの？
サイバーパンクエッジランナーズE2,ああ
サイバーパンクエッジランナーズE2,今日はもう 仕事はやめね
サイバーパンクエッジランナーズE2,やれるよ 俺
サイバーパンクエッジランナーズE2,ダメよ
サイバーパンクエッジランナーズE2,サイバーサイコの面倒見るのは ごめんだわ
サイバーパンクエッジランナーズE2,サンデヴィスタンは いざという時だけ使えばいいわ
サイバーパンクエッジランナーズE2,ほかにも やりようはある
サイバーパンクエッジランナーズE2,まだ俺と組む気あるんだ…
サイバーパンクエッジランナーズE2,今日の分 返してもらわないとね
サイバーパンクエッジランナーズE2,俺もやりたい カネが要るんだ
サイバーパンクエッジランナーズE2,決まりね
サイバーパンクエッジランナーズE2,やっぱり もうひと稼ぎしない？
サイバーパンクエッジランナーズE2,大家に家を追い出されそうでさ
サイバーパンクエッジランナーズE2,今日は もうダメ 諦めな
サイバーパンクエッジランナーズE2,だよな
サイバーパンクエッジランナーズE2,来て
サイバーパンクエッジランナーズE2,そうこなくっちゃ
サイバーパンクエッジランナーズE2,仕事じゃないわよ
サイバーパンクエッジランナーズE2,ここよ
サイバーパンクエッジランナーズE2,えっと… 独り？
サイバーパンクエッジランナーズE2,そうだけど
サイバーパンクエッジランナーズE2,ふーん
サイバーパンクエッジランナーズE2,もしかして緊張してる？
サイバーパンクエッジランナーズE2,いや
サイバーパンクエッジランナーズE2,初めてとか？
サイバーパンクエッジランナーズE2,いや
サイバーパンクエッジランナーズE2,してないって！
サイバーパンクエッジランナーズE2,座って ビールしかないからビールね
サイバーパンクエッジランナーズE2,うん 乾杯
サイバーパンクエッジランナーズE2,ちょっと
サイバーパンクエッジランナーズE2,何？ まさか酒も初めてなの？
サイバーパンクエッジランナーズE2,酒はいいんだけど
サイバーパンクエッジランナーズE2,炭酸とタバコは苦手なんだ
サイバーパンクエッジランナーズE2,そんなやついるかな？
サイバーパンクエッジランナーズE2,ホントだって
サイバーパンクエッジランナーズE2,ダッサ あんた服もダサい
サイバーパンクエッジランナーズE2,脱いで
